topology,seed,k_target,node_id,degree,clustering,avg_neighbor_degree,final_accuracy,delta_from_mean
BA,0,8,6,6,0.5333333333333333,6.0,72.48,1.0433333333333366
BA,0,8,7,5,0.4,5.8,73.41,1.9733333333333292
BA,0,8,8,7,0.42857142857142855,5.571428571428571,73.86,2.423333333333332
BA,0,8,9,4,0.5,6.5,72.22,0.7833333333333314
BA,0,8,10,4,0.5,6.25,73.36,1.923333333333332
BA,0,8,11,4,0.8333333333333334,6.75,70.29,-1.1466666666666612
BA,1,8,0,7,0.42857142857142855,5.571428571428571,68.72,-1.6824999999999903
BA,1,8,1,1,0.0,7.0,62.3,-8.102499999999992
BA,1,8,2,7,0.47619047619047616,6.0,72.34,1.9375000000000142
BA,1,8,3,5,0.3,6.0,72.84,2.437500000000014
BA,1,8,4,5,0.6,6.6,71.88,1.4775000000000063
BA,1,8,5,9,0.4722222222222222,5.444444444444445,72.69,2.2875000000000085
BA,1,8,6,5,0.7,6.6,65.36,-5.04249999999999
BA,1,8,7,5,0.5,6.0,70.26,-0.14249999999998408
BA,1,8,8,7,0.5238095238095238,5.857142857142857,74.55,4.147500000000008
BA,1,8,9,4,0.6666666666666666,7.0,71.87,1.4675000000000153
BA,1,8,10,5,0.3,5.6,72.34,1.9375000000000142
BA,1,8,11,4,0.5,6.5,69.68,-0.7224999999999824
BA,2,8,0,9,0.3888888888888889,5.0,74.57,3.2025000000000006
BA,2,8,1,3,0.6666666666666666,8.333333333333334,69.79,-1.5774999999999864
BA,2,8,2,5,0.7,7.4,69.42,-1.947499999999991
BA,2,8,3,6,0.6666666666666666,6.833333333333333,74.27,2.9025000000000034
BA,2,8,4,1,0.0,9.0,58.75,-12.617499999999993
BA,2,8,5,10,0.4666666666666667,5.3,75.09,3.722500000000011
BA,2,8,6,8,0.5357142857142857,5.75,74.57,3.2025000000000006
BA,2,8,7,6,0.4,5.333333333333333,74.78,3.4125000000000085
BA,2,8,8,4,1.0,8.0,65.73,-5.637499999999989
BA,2,8,9,4,1.0,8.25,73.49,2.1225000000000023
BA,2,8,10,4,0.8333333333333334,7.5,74.29,2.9225000000000136
BA,2,8,11,4,0.6666666666666666,8.25,71.66,0.292500000000004
