topology,mixing_strategy,num_nodes,seed,k_target,round,node_id,accuracy,degree
ER,uniform,30,42,4,17,7,70.03,1
ER,uniform,30,42,4,17,8,70.96,7
ER,uniform,30,42,4,17,9,68.9,4
ER,uniform,30,42,4,17,10,71.73,2
ER,uniform,30,42,4,17,11,69.22,4
ER,uniform,30,42,4,17,12,70.29,3
ER,uniform,30,42,4,17,13,69.17,2
ER,uniform,30,42,4,17,14,70.41,3
ER,uniform,30,42,4,17,15,70.48,4
ER,uniform,30,42,4,17,16,70.1,4
ER,uniform,30,42,4,17,17,69.36,3
ER,uniform,30,42,4,17,18,73.96,7
ER,uniform,30,42,4,17,19,68.19,1
ER,uniform,30,42,4,17,20,71.71,4
ER,uniform,30,42,4,17,21,69.33,3
ER,uniform,30,42,4,17,22,69.88,4
ER,uniform,30,42,4,17,23,71.02,2
ER,uniform,30,42,4,17,24,69.29,2
ER,uniform,30,42,4,17,25,69.65,5
ER,uniform,30,42,4,17,26,67.74,5
ER,uniform,30,42,4,17,27,68.82,3
ER,uniform,30,42,4,17,28,67.83,1
ER,uniform,30,42,4,17,29,72.89,3
ER,uniform,30,42,4,18,0,67.15,4
ER,uniform,30,42,4,18,1,70.82,3
ER,uniform,30,42,4,18,2,68.91,4
ER,uniform,30,42,4,18,3,71.76,3
ER,uniform,30,42,4,18,4,70.98,4
ER,uniform,30,42,4,18,5,72.53,4
ER,uniform,30,42,4,18,6,71.87,3
ER,uniform,30,42,4,18,7,70.88,1
ER,uniform,30,42,4,18,8,72.43,7
ER,uniform,30,42,4,18,9,70.11,4
ER,uniform,30,42,4,18,10,72.34,2
ER,uniform,30,42,4,18,11,69.67,4
ER,uniform,30,42,4,18,12,70.31,3
ER,uniform,30,42,4,18,13,69.05,2
ER,uniform,30,42,4,18,14,69.96,3
ER,uniform,30,42,4,18,15,71.13,4
ER,uniform,30,42,4,18,16,70.09,4
ER,uniform,30,42,4,18,17,69.86,3
ER,uniform,30,42,4,18,18,74.25,7
ER,uniform,30,42,4,18,19,68.99,1
ER,uniform,30,42,4,18,20,72.0,4
ER,uniform,30,42,4,18,21,67.96,3
ER,uniform,30,42,4,18,22,70.67,4
ER,uniform,30,42,4,18,23,71.18,2
ER,uniform,30,42,4,18,24,70.5,2
ER,uniform,30,42,4,18,25,70.51,5
ER,uniform,30,42,4,18,26,69.05,5
ER,uniform,30,42,4,18,27,67.58,3
ER,uniform,30,42,4,18,28,68.87,1
ER,uniform,30,42,4,18,29,73.29,3
ER,uniform,30,42,4,19,0,68.6,4
ER,uniform,30,42,4,19,1,70.57,3
ER,uniform,30,42,4,19,2,70.12,4
ER,uniform,30,42,4,19,3,72.07,3
ER,uniform,30,42,4,19,4,71.04,4
ER,uniform,30,42,4,19,5,71.18,4
ER,uniform,30,42,4,19,6,72.8,3
ER,uniform,30,42,4,19,7,71.43,1
ER,uniform,30,42,4,19,8,72.89,7
ER,uniform,30,42,4,19,9,71.14,4
ER,uniform,30,42,4,19,10,72.68,2
ER,uniform,30,42,4,19,11,69.9,4
ER,uniform,30,42,4,19,12,71.59,3
ER,uniform,30,42,4,19,13,69.42,2
ER,uniform,30,42,4,19,14,71.09,3
ER,uniform,30,42,4,19,15,71.94,4
ER,uniform,30,42,4,19,16,70.23,4
ER,uniform,30,42,4,19,17,70.13,3
ER,uniform,30,42,4,19,18,74.52,7
ER,uniform,30,42,4,19,19,67.59,1
ER,uniform,30,42,4,19,20,73.03,4
ER,uniform,30,42,4,19,21,68.98,3
ER,uniform,30,42,4,19,22,71.01,4
ER,uniform,30,42,4,19,23,70.92,2
ER,uniform,30,42,4,19,24,69.66,2
ER,uniform,30,42,4,19,25,70.93,5
ER,uniform,30,42,4,19,26,70.03,5
ER,uniform,30,42,4,19,27,69.59,3
ER,uniform,30,42,4,19,28,69.65,1
ER,uniform,30,42,4,19,29,73.19,3
ER,uniform,30,42,4,20,0,69.54,4
ER,uniform,30,42,4,20,1,71.63,3
ER,uniform,30,42,4,20,2,69.78,4
ER,uniform,30,42,4,20,3,72.6,3
ER,uniform,30,42,4,20,4,71.57,4
ER,uniform,30,42,4,20,5,71.59,4
ER,uniform,30,42,4,20,6,72.4,3
ER,uniform,30,42,4,20,7,70.54,1
